Trial,Timestamp,Distance (cm),Ping Time (us),Delay,Arduino ID,Sensor ID,Range (cm),Sensor length (cm),Color of sensor,Angle on XY plane,side a (cm),side b (cm),side c (cm),Angle on YZ plane,Sensor Configuration,Sensor Angle,Surface material,Surface Length (cm),Surface Width (cm)
138,1244,5,327,16800 us,,,,,,,,,,,,,,,
139,1244,5,327,16800 us,,,,,,,,,,,,,,,
140,1252,5,323,16800 us,,,,,,,,,,,,,,,
141,1248,5,323,16800 us,,,,,,,,,,,,,,,
142,1244,5,327,16800 us,,,,,,,,,,,,,,,
143,1244,5,323,16800 us,,,,,,,,,,,,,,,
144,1252,5,323,16800 us,,,,,,,,,,,,,,,
145,1224,5,299,16800 us,,,,,,,,,,,,,,,
146,1248,5,331,16800 us,,,,,,,,,,,,,,,
147,1248,5,331,16800 us,,,,,,,,,,,,,,,
148,1252,5,327,16800 us,,,,,,,,,,,,,,,
149,1252,5,327,16800 us,,,,,,,,,,,,,,,
150,1248,5,323,16800 us,,,,,,,,,,,,,,,
151,1244,5,327,16800 us,,,,,,,,,,,,,,,
152,1244,5,327,16800 us,,,,,,,,,,,,,,,
153,1252,5,327,16800 us,,,,,,,,,,,,,,,
154,1252,5,327,16800 us,,,,,,,,,,,,,,,
155,1244,5,327,16800 us,,,,,,,,,,,,,,,
156,1248,5,331,16800 us,,,,,,,,,,,,,,,
157,1244,5,327,16800 us,,,,,,,,,,,,,,,
158,1252,5,327,16800 us,,,,,,,,,,,,,,,
159,1252,5,327,16800 us,,,,,,,,,,,,,,,
160,1248,5,331,16800 us,,,,,,,,,,,,,,,
161,1244,5,327,16800 us,,,,,,,,,,,,,,,
162,1252,5,323,16800 us,,,,,,,,,,,,,,,
163,1224,5,303,16800 us,,,,,,,,,,,,,,,
164,1252,5,327,16800 us,,,,,,,,,,,,,,,
165,1248,5,327,16800 us,,,,,,,,,,,,,,,
166,1244,5,327,16800 us,,,,,,,,,,,,,,,
167,1248,5,327,16800 us,,,,,,,,,,,,,,,
168,1256,5,331,16800 us,,,,,,,,,,,,,,,
169,1244,5,323,16800 us,,,,,,,,,,,,,,,
170,1244,5,323,16800 us,,,,,,,,,,,,,,,
171,1248,5,323,16800 us,,,,,,,,,,,,,,,
172,1228,5,303,16800 us,,,,,,,,,,,,,,,
173,1248,5,331,16800 us,,,,,,,,,,,,,,,
174,1244,5,327,16800 us,,,,,,,,,,,,,,,
175,1244,5,331,16800 us,,,,,,,,,,,,,,,
176,1248,5,323,16800 us,,,,,,,,,,,,,,,
177,1248,5,323,16800 us,,,,,,,,,,,,,,,
178,1244,5,323,16800 us,,,,,,,,,,,,,,,
179,1244,5,323,16800 us,,,,,,,,,,,,,,,
180,1252,5,331,16800 us,,,,,,,,,,,,,,,
181,1256,5,331,16800 us,,,,,,,,,,,,,,,
182,1244,5,323,16800 us,,,,,,,,,,,,,,,
183,1244,5,323,16800 us,,,,,,,,,,,,,,,
184,1244,5,323,16800 us,,,,,,,,,,,,,,,
185,1248,5,323,16800 us,,,,,,,,,,,,,,,
186,1248,5,323,16800 us,,,,,,,,,,,,,,,
187,1244,5,327,16800 us,,,,,,,,,,,,,,,
188,1244,5,323,16800 us,,,,,,,,,,,,,,,
189,1244,5,323,16800 us,,,,,,,,,,,,,,,
190,1256,5,323,16800 us,,,,,,,,,,,,,,,
191,1244,5,327,16800 us,,,,,,,,,,,,,,,
192,1244,5,327,16800 us,,,,,,,,,,,,,,,
193,1244,5,331,16800 us,,,,,,,,,,,,,,,
194,1248,5,331,16800 us,,,,,,,,,,,,,,,
195,1252,5,327,16800 us,,,,,,,,,,,,,,,
196,1244,5,327,16800 us,,,,,,,,,,,,,,,
197,1244,5,327,16800 us,,,,,,,,,,,,,,,
198,1244,5,327,16800 us,,,,,,,,,,,,,,,
199,1256,5,323,16800 us,,,,,,,,,,,,,,,
