23_16800_mean_middle,23_6000_mean_middle,18_16800_mean_middle,23_10000_mean_middle,28_16800_mean_middle,18_3000_mean_middle,13_6000_mean_middle,13_3000_mean_middle,13_10000_mean_middle,53_6000_mean_middle,Sensor ID
259.09302325581393,1325.8,1045.96,1323.0,1606.047619047619,1035.0,739.4,739.72,740.04,3044.155555555556,21
1359.08,1353.32,1046.6,1332.6744186046512,1600.84,1046.04,841.16,840.68,840.76,3013.72,22
1359.8,1351.96,1069.64,1357.88,1635.6666666666667,1056.5510204081634,745.1904761904761,771.7441860465116,771.1739130434783,3064.04,23
1322.28,1316.84,1034.36,1307.0,1592.8666666666666,1031.88,730.44,730.28,729.4,3017.5454545454545,24
1357.64,1341.5777777777778,1080.0731707317073,1341.4615384615386,1627.0,1062.68,790.3170731707318,776.92,776.76,3080.12,25
1346.52,1349.0,1050.2,1348.68,1610.6,1067.08,775.0,774.2,774.04,3052.1428571428573,26
1333.8695652173913,1334.76,696.76,1335.0,1625.9333333333334,1048.36,763.16,763.0,763.0,3052.6666666666665,27
1313.08,1331.48,1039.0,1330.84,1592.68,1039.0,757.64,757.08,755.0,3037.64,28
1355.88,1355.6315789473683,1069.4489795918366,1356.6,1619.0,1069.72,751.5714285714286,751.8,775.0,3073.8695652173915,29
1312.021276595745,1312.68,1056.9,1312.12,1589.96,1042.12,745.7755102040817,745.530612244898,747.0,3027.72,30
1346.72,1331.44,821.2,1331.92,1622.08,1057.6262626262626,765.56,765.64,765.6262626262626,3089.56,32
1319.0,1319.0,1035.64,1319.0,1595.28,1024.7777777777778,779.2758620689655,736.64,755.0,3047.5714285714284,33
1258.3734939759036,1259.0,969.4691358024692,1258.0707070707072,1494.578947368421,969.52,653.6823529411764,675.989247311828,665.68,2939.96,34
1301.4651162790697,1300.6774193548388,1011.8,1301.0869565217392,1587.76,1012.72,861.84,804.32,861.64,3029.813186813187,35
1353.44,1345.574712643678,1054.88,1345.72,1616.857142857143,1064.4949494949494,743.68,743.36,743.52,3047.903225806452,36
1307.888888888889,1311.0,975.5473684210526,1311.24,1561.379746835443,984.84,739.76,739.7272727272727,739.8080808080808,3018.1724137931037,37
1348.0,1348.84,1075.96,1348.72,1663.0,1102.36,753.28,752.72,752.32,3014.0,38
1373.8354430379748,1340.3877551020407,1071.0,1323.0,1578.560975609756,1071.0,865.6,867.0,865.989898989899,2995.742268041237,39
1308.8,1321.64,1039.6382978723404,1321.76,1586.76,1040.2,728.88,728.96,738.2,3009.368421052632,40
1323.0,1312.28,1034.7530864197531,1299.047619047619,1593.2680412371135,1037.3820224719102,721.6823529411764,721.96,721.84,3027.0,41
1304.1612903225807,1304.292929292929,1000.72,1303.64,1567.0,1017.32,716.24,709.8915662650602,710.1460674157304,2999.5714285714284,42
1325.2222222222222,1325.5454545454545,1039.0,1325.56,1587.3456790123455,1038.8588235294117,719.0,719.0,719.0,3042.222222222222,43
1301.212765957447,1301.92,1006.24,1301.36,1567.6666666666667,1018.6767676767676,699.56,699.28,699.4,3017.481012658228,44
1340.4,1339.96,1044.6,1340.2,1631.08,1052.16,745.9090909090909,745.96,746.12,3048.96,45
